name,consequence_tier,consequence_description,source_url
Donald Trump,0,No legal consequences related to Epstein; served as 45th and 47th President,https://en.wikipedia.org/wiki/Donald_Trump
Jes Staley,1,Resigned as Barclays CEO (2021); fined by UK regulators over Epstein ties; sued by JPMorgan,https://en.wikipedia.org/wiki/Jes_Staley
Karyna Shuliak,0,Epstein's girlfriend; not charged with any crimes,
"Oren, Alon, and Tal Alexander",2,Oren Alexander arrested on sex trafficking charges (2024); brothers also facing allegations,https://en.wikipedia.org/wiki/Oren_Alexander
Ramsey Elkholy,2,Indicted on sex trafficking charges related to Epstein network,https://en.wikipedia.org/wiki/Ramsey_Elkholy
Sultan Bin Sulayem,0,No consequences related to Epstein,
Ghislaine Maxwell,2,Convicted of sex trafficking and conspiracy; sentenced to 20 years in federal prison (2022),https://en.wikipedia.org/wiki/Ghislaine_Maxwell
Leon Black,1,Stepped down as CEO of Apollo Global Management (2021) following scrutiny of Epstein payments,https://en.wikipedia.org/wiki/Leon_Black
Prince Andrew,1,Stripped of military titles and royal patronages; settled civil lawsuit with Virginia Giuffre (2022),"https://en.wikipedia.org/wiki/Prince_Andrew,_Duke_of_York"
Eva Andersson-Dubin,1,Named in civil lawsuits; faced public scrutiny over relationship with Epstein,https://en.wikipedia.org/wiki/Glenn_Dubin
Leslie Groff,1,Named as co-conspirator in civil lawsuits; identified as Epstein's assistant who facilitated scheduling,
Peggy Siegal,1,Dropped by clients and socially ostracized after Epstein connections became public,https://en.wikipedia.org/wiki/Peggy_Siegal
Bill Richardson,0,Denied allegations; died September 2023 before further proceedings,https://en.wikipedia.org/wiki/Bill_Richardson
William Riley,0,No publicly reported consequences,
Glenn Dubin,1,Named in civil lawsuits; faced public scrutiny and allegations related to Epstein,https://en.wikipedia.org/wiki/Glenn_Dubin
Michael Wolff,0,Journalist/author; no consequences related to Epstein,https://en.wikipedia.org/wiki/Michael_Wolff_(journalist)
Bill Clinton,0,No legal consequences related to Epstein; denied wrongdoing,https://en.wikipedia.org/wiki/Bill_Clinton
Ehud Barak,0,Faced media scrutiny over Epstein visits; no formal consequences,https://en.wikipedia.org/wiki/Ehud_Barak
Peter Mandelson,0,Named in documents; denied wrongdoing; no formal consequences,https://en.wikipedia.org/wiki/Peter_Mandelson
Steve Bannon,0,No Epstein-related consequences; separate legal issues unrelated to Epstein,https://en.wikipedia.org/wiki/Steve_Bannon
Les Wexner,1,Stepped down as L Brands CEO (2020); severed ties with Epstein; admitted Epstein misappropriated funds,https://en.wikipedia.org/wiki/Les_Wexner
Sarah Ferguson,1,Publicly distanced from Prince Andrew; reputational damage from association,"https://en.wikipedia.org/wiki/Sarah,_Duchess_of_York"
Ron Lauder,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Ronald_Lauder
Corina Tarnita,0,Princeton professor; no consequences related to Epstein,
Lana Zakocela,0,Model; no Epstein-related consequences,
Susan Hamblin,0,No publicly reported consequences,
Larry Summers,0,Acknowledged meeting Epstein; no consequences,https://en.wikipedia.org/wiki/Lawrence_Summers
Peter Theil,0,Named in Epstein-related documents; no formal consequences,https://en.wikipedia.org/wiki/Peter_Thiel
Bill Gates,1,Epstein meetings cited as factor in divorce from Melinda Gates (2021); faced sustained reputational damage,https://en.wikipedia.org/wiki/Bill_Gates
Elon Musk,0,No consequences related to Epstein; denied close relationship,https://en.wikipedia.org/wiki/Elon_Musk
Howard Lutnick,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Howard_Lutnick
Francis Derby,0,No publicly reported consequences,
Leon Botstein,0,Bard College president; received Epstein donations; no formal consequences,https://en.wikipedia.org/wiki/Leon_Botstein
Casey Wasserman,1,Artists and clients publicly departed his talent agency after Epstein file revelations (2026),
Kathryn Ruemmler,0,Former Obama White House Counsel; met with Epstein; no formal consequences,https://en.wikipedia.org/wiki/Kathryn_Ruemmler
Peter Attia,1,Resigned from CBS News contributor role after Epstein file revelations (2026),https://en.wikipedia.org/wiki/Peter_Attia
Jess Ting,0,No publicly reported consequences,
Jeff Bezos,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Jeff_Bezos
Paolo Zampolli,0,No Epstein-related legal consequences,https://en.wikipedia.org/wiki/Paolo_Zampolli
Chuck Schumer,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Chuck_Schumer
Rupert Murdoch,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Rupert_Murdoch
Stefan Krause,0,No publicly reported consequences,
Sheikh Sultan Bin Jassim Al Thani,0,No publicly reported consequences,
Mark Zuckerberg,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Mark_Zuckerberg
Hillary Clinton,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Hillary_Clinton
Kevin O'Leary,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Kevin_O%27Leary
Pam Bondi,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Pam_Bondi
Oprah,0,No consequences; minimal documented connection to Epstein,https://en.wikipedia.org/wiki/Oprah_Winfrey
George H.W. Bush and George W. Bush,0,No consequences related to Epstein; minimal documented connection,
Stanislas Nordey,0,No publicly reported consequences,
Bill O'Reilly,0,Fired from Fox News for separate sexual harassment allegations (not Epstein-related),https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator)
Kash Patel,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Kash_Patel
Betsy DeVos,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Betsy_DeVos
Benjamin Netanyahu,0,No consequences related to Epstein; separate domestic legal issues unrelated,https://en.wikipedia.org/wiki/Benjamin_Netanyahu
Bill Maher,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Bill_Maher
Justice Clarence Thomas,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Clarence_Thomas
Ellen DeGeneres,0,No consequences related to Epstein; retired from TV independently,https://en.wikipedia.org/wiki/Ellen_DeGeneres
John and Tony Podesta,0,No consequences related to Epstein; subject of conspiracy theories,
Justin Trudeau,0,No consequences related to Epstein; resigned as PM for unrelated political reasons,https://en.wikipedia.org/wiki/Justin_Trudeau
Larry Silverstein,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Larry_Silverstein
Mark Landon,0,No publicly reported consequences,
Barack Obama,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Barack_Obama
RFK,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Robert_F._Kennedy_Jr.
Savannah Guthrie,0,No consequences related to Epstein; minimal documented connection,https://en.wikipedia.org/wiki/Savannah_Guthrie
Ted Leonsis,0,No consequences related to Epstein,https://en.wikipedia.org/wiki/Ted_Leonsis
Tom Hanks,0,No credible connection to Epstein; subject of conspiracy theories only,https://en.wikipedia.org/wiki/Tom_Hanks
